id,col_3,col_4,col_5,col_5_英語,card_name_英語,image_url_英語,col_5_韓国語,card_name_韓国語,image_url_韓国語,col_5_中国語,card_name_中国語,image_url_中国語,col_5_フランス語,card_name_フランス語,image_url_フランス語,col_5_スペイン語,card_name_スペイン語,image_url_スペイン語,col_5_ドイツ語,card_name_ドイツ語,image_url_ドイツ語
4503,A4,166/161,A4-166,A4-166,Magby,https://assets.tcgdex.net/en/tcgp/A4/166/low.webp,A4-166,마그비,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/166.webp,A4-166,小鴨嘴龍,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/166.webp,A4-166,Magby,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/166.webp,A4-166,Magby,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/166.webp,A4-166,Magby,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/166.webp
4504,A4,165/161,A4-165,A4-165,Cyndaquil,https://assets.tcgdex.net/en/tcgp/A4/165/low.webp,A4-165,브케인,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/165.webp,A4-165,火球鼠,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/165.webp,A4-165,Héricendre,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/165.webp,A4-165,Cyndaquil,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/165.webp,A4-165,Feurigel,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/165.webp
4505,A4,164/161,A4-164,A4-164,Heracross,https://assets.tcgdex.net/en/tcgp/A4/164/low.webp,A4-164,헤라크로스,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/164.webp,A4-164,赫拉剋羅斯,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/164.webp,A4-164,Scarhino,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/164.webp,A4-164,Heracross,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/164.webp,A4-164,Skaraborn,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/164.webp
4506,A4,163/161,A4-163,A4-163,Bellossom,https://assets.tcgdex.net/en/tcgp/A4/163/low.webp,A4-163,아르코,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/163.webp,A4-163,美麗花,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/163.webp,A4-163,Joliflor,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/163.webp,A4-163,Bellossom,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/163.webp,A4-163,Blubella,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/163.webp
4507,A4,162/161,A4-162,A4-162,Chikorita,https://assets.tcgdex.net/en/tcgp/A4/162/low.webp,A4-162,치코리타,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/162.webp,A4-162,菊草葉,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/162.webp,A4-162,Germignon,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/162.webp,A4-162,Chikorita,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/162.webp,A4-162,Endivie,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/162.webp
4508,A4,161/161,A4-161,A4-161,Hiker,https://assets.tcgdex.net/en/tcgp/A4/161/low.webp,A4-161,등산가,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/161.webp,A4-161,登山男,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/161.webp,A4-161,Montagnard,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/161.webp,A4-161,Montañero,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/161.webp,A4-161,Wanderer,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/161.webp
4509,A4,160/161,A4-160,A4-160,Jasmine,https://assets.tcgdex.net/en/tcgp/A4/160/low.webp,A4-160,규리,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/160.webp,A4-160,阿蜜,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/160.webp,A4-160,Jasmine,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/160.webp,A4-160,Yasmina,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/160.webp,A4-160,Jasmin,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/160.webp
4510,A4,159/161,A4-159,A4-159,Fisher,https://assets.tcgdex.net/en/tcgp/A4/159/low.webp,A4-159,낚시꾼,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/159.webp,A4-159,钓鱼者,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/159.webp,A4-159,Pêcheur,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/159.webp,A4-159,Pescador,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/159.webp,A4-159,Angler,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/159.webp
4511,A4,158/161,A4-158,A4-158,Silver,https://assets.tcgdex.net/en/tcgp/A4/158/low.webp,A4-158,실버,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/158.webp,A4-158,小银,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/158.webp,A4-158,Silver,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/158.webp,A4-158,Plata,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/158.webp,A4-158,Silber,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/158.webp
4512,A4,157/161,A4-157,A4-157,Lyra,https://assets.tcgdex.net/en/tcgp/A4/157/low.webp,A4-157,금선,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/157.webp,A4-157,琴音,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/157.webp,A4-157,Célesta,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/157.webp,A4-157,Lira,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/157.webp,A4-157,Lyra,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/157.webp
