id,col_3,col_4,col_5
4825,A1,223/226,A1-223
4826,A4,157/161,A4-157
4827,A2a,072/075,A2a-072
4828,A1,219/226,A1-219
4829,A2,150/155,A2-150
4830,A3,147/155,A3-147
4831,A2,148/155,A2-148
4832,A2,147/155,A2-147
4833,A3a,065/069,A3a-065
4834,A2,146/155,A2-146
4835,A3,144/155,A3-144
4836,A1,218/226,A1-218
4837,A4,151/161,A4-151
4838,A3b,066/069,A3b-066
4839,A2b,068/072,A2b-068
4840,A3a,062/069,A3a-062
4841,A3a,061/069,A3a-061
4842,A3a,060/069,A3a-060
4843,A2a,071/075,A2a-071
4844,A2a,069/075,A2a-069
4845,A2b,065/072,A2b-065
4846,A2b,064/072,A2b-064
4847,A3,130/155,A3-130
4848,A3,129/155,A3-129
4849,A4,149/161,A4-149
4850,A4b,288/353,A4b-288
4851,A3b,056/069,A3b-056
4852,A3b,055/069,A3b-055
4853,A2,125/155,A2-125
4854,A2,124/155,A2-124
4855,A1,198/226,A1-198
4856,A1,195/226,A1-195
4857,A1,193/226,A1-193
4858,A1a,059/068,A1a-059
4859,A1a,058/068,A1a-058
4860,A1a,057/068,A1a-057
4861,A3b,053/069,A3b-053
4862,A3b,052/069,A3b-052
4863,A3b,051/069,A3b-051
4864,A2b,054/072,A2b-054
4865,A2b,053/072,A2b-053
4866,A2b,052/072,A2b-052
4867,A3,123/155,A3-123
4868,A3,122/155,A3-122
4869,A3,121/155,A3-121
4870,A3,119/155,A3-119
4871,A2,119/155,A2-119
4872,A2a,057/075,A2a-057
4873,A4,124/161,A4-124
4874,A3a,047/069,A3a-047
4875,A3a,046/069,A3a-046
4876,A3a,043/069,A3a-043
4877,A3a,042/069,A3a-042
4878,A2,110/155,A2-110
4879,A2,099/155,A2-099
4880,A2,098/155,A2-098
4881,A4,112/161,A4-112
4882,A3b,043/069,A3b-043
4883,A2b,048/072,A2b-048
4884,A2b,047/072,A2b-047
4885,A3,111/155,A3-111
4886,A3,110/155,A3-110
4887,A4,109/161,A4-109
4888,A2a,050/075,A2a-050
4889,A2a,049/075,A2a-049
4890,A2a,048/075,A2a-048
4891,A1a,047/068,A1a-047
4892,A3,104/155,A3-104
4893,A3a,033/069,A3a-033
4894,A3a,032/069,A3a-032
4895,A3,097/155,A3-097
4896,A3,093/155,A3-093
4897,A2,095/155,A2-095
4898,A2b,043/072,A2b-043
4899,A2,092/155,A2-092
4900,A2b,042/072,A2b-042
4901,A2a,047/075,A2a-047
4902,A2a,046/075,A2a-046
4903,A2a,045/075,A2a-045
4904,A2a,042/075,A2a-042
4905,A4,100/161,A4-100
4906,A4,099/161,A4-099
4907,A2a,036/075,A2a-036
4908,A1a,046/068,A1a-046
4909,A1,153/226,A1-153
4910,A1,151/226,A1-151
4911,A1,146/226,A1-146
4912,A1,144/226,A1-144
4913,A1,143/226,A1-143
4914,A3b,037/069,A3b-037
4915,A3b,036/069,A3b-036
4916,A3,087/155,A3-087
4917,A3,086/155,A3-086
4918,A3,085/155,A3-085
4919,A3,077/155,A3-077
4920,A3b,034/069,A3b-034
4921,A3b,032/069,A3b-032
4922,A3b,031/069,A3b-031
4923,A2b,035/072,A2b-035
4924,A2,078/155,A2-078
4925,A1,132/226,A1-132
4926,A2,069/155,A2-069
4927,A2,068/155,A2-068
4928,A2,067/155,A2-067
4929,A2,066/155,A2-066
4930,A4,083/161,A4-083
4931,A1a,032/068,A1a-032
4932,A1,129/226,A1-129
4933,A1,127/226,A1-127
4934,A1,123/226,A1-123
4935,A1,121/226,A1-121
4936,A1,120/226,A1-120
4937,A3a,021/069,A3a-021
4938,A3a,019/069,A3a-019
4939,A3,066/155,A3-066
4940,A2,061/155,A2-061
4941,A2b,025/072,A2b-025
4942,A4,065/161,A4-065
4943,A4,064/161,A4-064
4944,A1,104/226,A1-104
4945,A2,053/155,A2-053
4946,A1,098/226,A1-098
4947,A1,097/226,A1-097
4948,A2b,022/072,A2b-022
4949,A1,096/226,A1-096
4950,A3,058/155,A3-058
4951,A1,094/226,A1-094
4952,A2b,019/072,A2b-019
4953,A2b,018/072,A2b-018
4954,A3,050/155,A3-050
4955,A3,049/155,A3-049
4956,A3b,024/069,A3b-024
4957,A3b,023/069,A3b-023
4958,A3b,022/069,A3b-022
4959,A1,089/226,A1-089
4960,A1,088/226,A1-088
4961,A1,087/226,A1-087
4962,A2,050/155,A2-050
4963,A2,049/155,A2-049
4964,A2a,022/075,A2a-022
4965,A4,061/161,A4-061
4966,A4,060/161,A4-060
4967,A1,084/226,A1-084
4968,A1a,019/068,A1a-019
4969,A1a,018/068,A1a-018
4970,A1a,017/068,A1a-017
4971,A1,076/226,A1-076
4972,A1,074/226,A1-074
4973,A4,043/161,A4-043
4974,A4,042/161,A4-042
4975,A4,041/161,A4-041
4976,A1,056/226,A1-056
4977,A1,054/226,A1-054
4978,A1,053/226,A1-053
4979,A3,033/155,A3-033
4980,A3,032/155,A3-032
4981,A3,030/155,A3-030
4982,A2a,013/075,A2a-013
4983,A2,029/155,A2-029
4984,A2,028/155,A2-028
4985,A2,027/155,A2-027
4986,A3b,010/069,A3b-010
4987,A4,034/161,A4-034
4988,A1,047/226,A1-047
4989,A3b,009/069,A3b-009
4990,A3b,008/069,A3b-008
4991,A1,041/226,A1-041
4992,A1,039/226,A1-039
4993,A2b,010/072,A2b-010
4994,A1,036/226,A1-036
4995,A1,034/226,A1-034
4996,A1,033/226,A1-033
4997,A2b,007/072,A2b-007
4998,A2b,006/072,A2b-006
4999,A2b,005/072,A2b-005
5000,A3a,008/069,A3a-008
5001,A3a,007/069,A3a-007
5002,A3a,006/069,A3a-006
5003,A3,023/155,A3-023
5004,A3,012/155,A3-012
5005,A3,011/155,A3-011
5006,A3,009/155,A3-009
5007,A1a,006/068,A1a-006
5008,A1a,005/068,A1a-005
5009,A1a,004/068,A1a-004
5010,A2,022/155,A2-022
5011,A2a,010/075,A2a-010
5012,A4,024/161,A4-024
5013,A4,023/161,A4-023
5014,A1a,003/068,A1a-003
5015,A4,021/161,A4-021
5016,A2,007/155,A2-007
5017,A2,006/155,A2-006
5018,A4,015/161,A4-015
5019,A4,014/161,A4-014
5020,A4,013/161,A4-013
5021,A1,023/226,A1-023
5022,A1,021/226,A1-021
5023,A2b,003/072,A2b-003
5024,A2b,002/072,A2b-002
5025,A2b,001/072,A2b-001
5026,A1,004/226,A1-004
5027,A1,002/226,A1-002
5028,A1,001/226,A1-001
5137,B1,225/226,B1-225
5207,B1,155/226,B1-155
5031,B1,331/226,B1-331
5032,B1,330/226,B1-330
5033,B1,329/226,B1-329
5083,B1,279/226,B1-279
5134,B1,228/226,B1-228
5162,B1,200/226,B1-200
5163,B1,199/226,B1-199
5164,B1,198/226,B1-198
5173,B1,189/226,B1-189
5174,B1,188/226,B1-188
5175,B1,187/226,B1-187
5180,B1,182/226,B1-182
5181,B1,181/226,B1-181
5182,B1,180/226,B1-180
5194,B1,168/226,B1-168
5195,B1,167/226,B1-167
5196,B1,166/226,B1-166
5200,B1,162/226,B1-162
5201,B1,161/226,B1-161
5218,B1,144/226,B1-144
5219,B1,143/226,B1-143
5237,B1,125/226,B1-125
5239,B1,123/226,B1-123
5240,B1,122/226,B1-122
5246,B1,116/226,B1-116
5247,B1,115/226,B1-115
5253,B1,109/226,B1-109
5262,B1,100/226,B1-100
5263,B1,099/226,B1-099
5264,B1,098/226,B1-098
5265,B1,097/226,B1-097
5269,B1,093/226,B1-093
5270,B1,092/226,B1-092
5273,B1,089/226,B1-089
5297,B1,065/226,B1-065
5298,B1,064/226,B1-064
5299,B1,063/226,B1-063
5303,B1,059/226,B1-059
5304,B1,058/226,B1-058
5318,B1,044/226,B1-044
5338,B1,024/226,B1-024
5339,B1,023/226,B1-023
5343,B1,019/226,B1-019
5350,B1,012/226,B1-012
5351,B1,011/226,B1-011
5034,B1,328/226,B1-328
5039,B1,323/226,B1-323
5041,B1,321/226,B1-321
5044,B1,318/226,B1-318
5052,B1,310/226,B1-310
5056,B1,306/226,B1-306
5057,B1,305/226,B1-305
5059,B1,303/226,B1-303
5060,B1,302/226,B1-302
5065,B1,297/226,B1-297
5066,B1,296/226,B1-296
5067,B1,295/226,B1-295
5068,B1,294/226,B1-294
5069,B1,293/226,B1-293
5077,B1,285/226,B1-285
5080,B1,282/226,B1-282
5082,B1,280/226,B1-280
5086,B1,276/226,B1-276
5087,B1,275/226,B1-275
5092,B1,270/226,B1-270
5096,B1,266/226,B1-266
5098,B1,264/226,B1-264
5100,B1,262/226,B1-262
5105,B1,257/226,B1-257
5106,B1,256/226,B1-256
5107,B1,255/226,B1-255
5114,B1,248/226,B1-248
5117,B1,245/226,B1-245
5118,B1,244/226,B1-244
5119,B1,243/226,B1-243
5121,B1,241/226,B1-241
5124,B1,238/226,B1-238
5128,B1,234/226,B1-234
5130,B1,232/226,B1-232
5141,B1,221/226,B1-221
5143,B1,219/226,B1-219
5146,B1,216/226,B1-216
5147,B1,215/226,B1-215
5154,B1,208/226,B1-208
5168,B1,194/226,B1-194
5169,B1,193/226,B1-193
5170,B1,192/226,B1-192
5171,B1,191/226,B1-191
5172,B1,190/226,B1-190
5178,B1,184/226,B1-184
5186,B1,176/226,B1-176
5188,B1,174/226,B1-174
5189,B1,173/226,B1-173
5204,B1,158/226,B1-158
5205,B1,157/226,B1-157
5206,B1,156/226,B1-156
5209,B1,153/226,B1-153
5210,B1,152/226,B1-152
5211,B1,151/226,B1-151
5212,B1,150/226,B1-150
5213,B1,149/226,B1-149
5214,B1,148/226,B1-148
5215,B1,147/226,B1-147
5216,B1,146/226,B1-146
5217,B1,145/226,B1-145
5224,B1,138/226,B1-138
5225,B1,137/226,B1-137
5230,B1,132/226,B1-132
5231,B1,131/226,B1-131
5232,B1,130/226,B1-130
5233,B1,129/226,B1-129
5234,B1,128/226,B1-128
5242,B1,120/226,B1-120
5251,B1,111/226,B1-111
5252,B1,110/226,B1-110
5281,B1,081/226,B1-081
5283,B1,079/226,B1-079
5284,B1,078/226,B1-078
5285,B1,077/226,B1-077
5286,B1,076/226,B1-076
5287,B1,075/226,B1-075
5288,B1,074/226,B1-074
5289,B1,073/226,B1-073
5290,B1,072/226,B1-072
5291,B1,071/226,B1-071
5293,B1,069/226,B1-069
5294,B1,068/226,B1-068
5295,B1,067/226,B1-067
5296,B1,066/226,B1-066
5305,B1,057/226,B1-057
5306,B1,056/226,B1-056
5310,B1,052/226,B1-052
5311,B1,051/226,B1-051
5312,B1,050/226,B1-050
5315,B1,047/226,B1-047
5322,B1,040/226,B1-040
5323,B1,039/226,B1-039
5348,B1,014/226,B1-014
5349,B1,013/226,B1-013
5035,B1,327/226,B1-327
5036,B1,326/226,B1-326
5038,B1,324/226,B1-324
5042,B1,320/226,B1-320
5046,B1,316/226,B1-316
5049,B1,313/226,B1-313
5050,B1,312/226,B1-312
5058,B1,304/226,B1-304
5061,B1,301/226,B1-301
5062,B1,300/226,B1-300
5064,B1,298/226,B1-298
5073,B1,289/226,B1-289
5074,B1,288/226,B1-288
5075,B1,287/226,B1-287
5076,B1,286/226,B1-286
5079,B1,283/226,B1-283
5084,B1,278/226,B1-278
5085,B1,277/226,B1-277
5089,B1,273/226,B1-273
5091,B1,271/226,B1-271
5093,B1,269/226,B1-269
5097,B1,265/226,B1-265
5102,B1,260/226,B1-260
5103,B1,259/226,B1-259
5104,B1,258/226,B1-258
5110,B1,252/226,B1-252
5113,B1,249/226,B1-249
5115,B1,247/226,B1-247
5123,B1,239/226,B1-239
5126,B1,236/226,B1-236
5129,B1,233/226,B1-233
5131,B1,231/226,B1-231
5133,B1,229/226,B1-229
5136,B1,226/226,B1-226
5138,B1,224/226,B1-224
5142,B1,220/226,B1-220
5144,B1,218/226,B1-218
5150,B1,212/226,B1-212
5151,B1,211/226,B1-211
5155,B1,207/226,B1-207
5159,B1,203/226,B1-203
5160,B1,202/226,B1-202
5161,B1,201/226,B1-201
5165,B1,197/226,B1-197
5166,B1,196/226,B1-196
5167,B1,195/226,B1-195
5176,B1,186/226,B1-186
5177,B1,185/226,B1-185
5179,B1,183/226,B1-183
5183,B1,179/226,B1-179
5184,B1,178/226,B1-178
5185,B1,177/226,B1-177
5197,B1,165/226,B1-165
5198,B1,164/226,B1-164
5199,B1,163/226,B1-163
5208,B1,154/226,B1-154
5241,B1,121/226,B1-121
5243,B1,119/226,B1-119
5244,B1,118/226,B1-118
5245,B1,117/226,B1-117
5248,B1,114/226,B1-114
5249,B1,113/226,B1-113
5250,B1,112/226,B1-112
5254,B1,108/226,B1-108
5255,B1,107/226,B1-107
5256,B1,106/226,B1-106
5260,B1,102/226,B1-102
5261,B1,101/226,B1-101
5266,B1,096/226,B1-096
5267,B1,095/226,B1-095
5268,B1,094/226,B1-094
5277,B1,085/226,B1-085
5278,B1,084/226,B1-084
5279,B1,083/226,B1-083
5280,B1,082/226,B1-082
5282,B1,080/226,B1-080
5300,B1,062/226,B1-062
5301,B1,061/226,B1-061
5302,B1,060/226,B1-060
5307,B1,055/226,B1-055
5308,B1,054/226,B1-054
5309,B1,053/226,B1-053
5319,B1,043/226,B1-043
5320,B1,042/226,B1-042
5321,B1,041/226,B1-041
5335,B1,027/226,B1-027
5336,B1,026/226,B1-026
5337,B1,025/226,B1-025
5340,B1,022/226,B1-022
5341,B1,021/226,B1-021
5342,B1,020/226,B1-020
5344,B1,018/226,B1-018
5345,B1,017/226,B1-017
5346,B1,016/226,B1-016
5347,B1,015/226,B1-015
5037,B1,325/226,B1-325
5040,B1,322/226,B1-322
5043,B1,319/226,B1-319
5045,B1,317/226,B1-317
5047,B1,315/226,B1-315
5048,B1,314/226,B1-314
5051,B1,311/226,B1-311
5053,B1,309/226,B1-309
5054,B1,308/226,B1-308
5055,B1,307/226,B1-307
5063,B1,299/226,B1-299
5070,B1,292/226,B1-292
5071,B1,291/226,B1-291
5072,B1,290/226,B1-290
5078,B1,284/226,B1-284
5081,B1,281/226,B1-281
5088,B1,274/226,B1-274
5090,B1,272/226,B1-272
5094,B1,268/226,B1-268
5095,B1,267/226,B1-267
5099,B1,263/226,B1-263
5101,B1,261/226,B1-261
5108,B1,254/226,B1-254
5109,B1,253/226,B1-253
5111,B1,251/226,B1-251
5112,B1,250/226,B1-250
5116,B1,246/226,B1-246
5120,B1,242/226,B1-242
5122,B1,240/226,B1-240
5125,B1,237/226,B1-237
5127,B1,235/226,B1-235
5132,B1,230/226,B1-230
5139,B1,223/226,B1-223
5140,B1,222/226,B1-222
5145,B1,217/226,B1-217
5148,B1,214/226,B1-214
5149,B1,213/226,B1-213
5152,B1,210/226,B1-210
5153,B1,209/226,B1-209
5156,B1,206/226,B1-206
5157,B1,205/226,B1-205
5158,B1,204/226,B1-204
5187,B1,175/226,B1-175
5190,B1,172/226,B1-172
5191,B1,171/226,B1-171
5192,B1,170/226,B1-170
5193,B1,169/226,B1-169
5202,B1,160/226,B1-160
5203,B1,159/226,B1-159
5220,B1,142/226,B1-142
5221,B1,141/226,B1-141
5222,B1,140/226,B1-140
5223,B1,139/226,B1-139
5226,B1,136/226,B1-136
5227,B1,135/226,B1-135
5228,B1,134/226,B1-134
5229,B1,133/226,B1-133
5235,B1,127/226,B1-127
5236,B1,126/226,B1-126
5238,B1,124/226,B1-124
5257,B1,105/226,B1-105
5258,B1,104/226,B1-104
5259,B1,103/226,B1-103
5271,B1,091/226,B1-091
5272,B1,090/226,B1-090
5274,B1,088/226,B1-088
5275,B1,087/226,B1-087
5276,B1,086/226,B1-086
5292,B1,070/226,B1-070
5313,B1,049/226,B1-049
5314,B1,048/226,B1-048
5316,B1,046/226,B1-046
5317,B1,045/226,B1-045
5324,B1,038/226,B1-038
5325,B1,037/226,B1-037
5326,B1,036/226,B1-036
5327,B1,035/226,B1-035
5328,B1,034/226,B1-034
5329,B1,033/226,B1-033
5330,B1,032/226,B1-032
5331,B1,031/226,B1-031
5332,B1,030/226,B1-030
5333,B1,029/226,B1-029
5334,B1,028/226,B1-028
5352,B1,010/226,B1-010
5353,B1,009/226,B1-009
5354,B1,008/226,B1-008
5355,B1,007/226,B1-007
5356,B1,006/226,B1-006
5357,B1,005/226,B1-005
5358,B1,004/226,B1-004
5359,B1,003/226,B1-003
5360,B1,002/226,B1-002
5361,B1,001/226,B1-001
5135,B1,227/226,B1-227
