id,col_3,col_4,col_5
3536,A2,177/155,A2-177
3537,A2,176/155,A2-176
3538,A2,175/155,A2-175
3539,A2,174/155,A2-174
3540,A2,173/155,A2-173
3541,A2,172/155,A2-172
3542,A2,171/155,A2-171
3543,A2,170/155,A2-170
3544,A2,169/155,A2-169
3545,A2,168/155,A2-168
3546,A2,167/155,A2-167
3547,A2,166/155,A2-166
3548,A2,165/155,A2-165
3549,A2,164/155,A2-164
3550,A2,163/155,A2-163
3551,A2,162/155,A2-162
3552,A2,161/155,A2-161
3553,A2,160/155,A2-160
3554,A2,159/155,A2-159
3555,A2,158/155,A2-158
3556,A2,157/155,A2-157
3557,A2,156/155,A2-156
3558,A2,155/155,A2-155
3559,A2,154/155,A2-154
3560,A2,153/155,A2-153
3561,A2,152/155,A2-152
3562,A2,151/155,A2-151
3563,A2,150/155,A2-150
3564,A2,149/155,A2-149
3565,A2,148/155,A2-148
3566,A2,147/155,A2-147
3567,A2,146/155,A2-146
3568,A2,145/155,A2-145
3569,A2,144/155,A2-144
3570,A2,143/155,A2-143
3571,A2,142/155,A2-142
3572,A2,141/155,A2-141
3573,A2,140/155,A2-140
3574,A2,139/155,A2-139
3575,A2,138/155,A2-138
3576,A2,137/155,A2-137
3577,A2,136/155,A2-136
3578,A2,135/155,A2-135
3579,A2,134/155,A2-134
3580,A2,133/155,A2-133
3581,A2,132/155,A2-132
3582,A2,131/155,A2-131
3583,A2,130/155,A2-130
3584,A2,129/155,A2-129
3585,A2,128/155,A2-128
3586,A2,127/155,A2-127
3587,A2,126/155,A2-126
3588,A2,125/155,A2-125
3589,A2,124/155,A2-124
3590,A2,123/155,A2-123
3591,A2,122/155,A2-122
3592,A2,121/155,A2-121
3593,A2,120/155,A2-120
3594,A2,119/155,A2-119
3595,A2,118/155,A2-118
3596,A2,117/155,A2-117
3597,A2,116/155,A2-116
3598,A2,115/155,A2-115
3599,A2,114/155,A2-114
3600,A2,113/155,A2-113
3601,A2,112/155,A2-112
3602,A2,111/155,A2-111
3603,A2,110/155,A2-110
3604,A2,109/155,A2-109
3605,A2,108/155,A2-108
3606,A2,107/155,A2-107
3607,A2,106/155,A2-106
3608,A2,105/155,A2-105
